sender_email,average_time_diff_days,email_count
noreply@glassdoor.com,-1.1428571428571428,8
news@email-blacks.co.uk,-1.5,5
SC9192096a@schoolcomms.com,-1.25,5
hello@readwise.io,-1.75,5
update-948635-2551e525@news.theregister.co.uk,-1.3333333333333333,4
hello@projectratchet.com,-0.6666666666666666,4
messaging-digest-noreply@linkedin.com,-2.0,3
marketing@clearscore.com,-2.0,3
no-reply@mail.coinbase.com,-2.0,3
support@organifi.com,-2.0,3
team@healf.com,-2.5,3
premium@academia-mail.com,-2.5,3
dan@tldrnewsletter.com,-1.5,3
bonjour@e.cote.co.uk,-2.0,3
amazon-offers@amazon.co.uk,-2.0,3
activity@classlist.com,-2.0,3
puregym@offers.emails-puregym.com,-1.0,2
samydoreau@gmail.com,-1.0,2
support@digitalocean.com,-1.0,2
service@paypal.co.uk,-1.0,2
shipment-tracking@amazon.co.uk,-1.0,2
stories-features@mail.ft.com,-2.0,2
support@codepen.io,-1.0,2
team_at_trydirection_com_9fzkwg4x6d_af961a66@privaterelay.appleid.com,-3.0,2
noreply@gorillasun.de,-2.0,2
OpenTable_at_mgs_opentable_com_ndc6jmy2yp_e632efad@privaterelay.appleid.com,-3.0,2
noreply@e.economist.com,-3.0,2
noreply-uk@klarna.co.uk,-3.0,2
no_reply@email.apple.com,-1.0,2
microsoftstore@microsoftstoreemail.com,-1.0,2
messages-noreply@linkedin.com,-1.0,2
members_at_medium_com_n2kbtsq4fg_a08b90d5@privaterelay.appleid.com,-3.0,2
jakki.jakaj@dbtlabs.com,-1.0,2
inmail-hit-reply@linkedin.com,-2.0,2
hello@tryhackme.com,-1.0,2
hello@dirteaworld.com,-1.0,2
gousto@info.gousto.co.uk,-3.0,2
enews@coravin.com,-1.0,2
customer.services@ticketsource.co.uk,-4.0,2
upwork@email.upwork.com,-1.0,2
